Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
3.1968838,3.7533697,7958.980656,14.9685779,1843.132991,1671.124929,6470,4.15,1.59715
3.9443668,4.8652146,6732.488454,14.5727196,1078.598699,1461.620826,5494,3.93,1.75475
4.5371361,4.042155,4199.755875,9.8153513,732.0077048,1326.626483,5731,4.1,1.48668
14.3392144,4.6064739,392.6346872,2.2963233,118.7538488,841.9410276,6295.7,4.438,1.1374201
2.8716983,4.668,8568,18.1267,4494.25,2281,6840,4.05,1.91
6.0964074,2.3632965,1142.489175,2.5856853,69.8633506,737.3642914,4820.4,4.6,0.731699
5.6666168,3.604,9780,14.8589,442.536,1277,6530,4.23,1.47
1.56029,2.751,1690,18.4825,38412.5,3900,6897,3.89,2.29
8.8735214,4.059,1949,6.0401,1064.98,1591,5992,4.34,1.18
1.3797091,2.352,1320,22.2329,28702.5,3626,5924,3.68,2.67
2.6796,2.771,7590,11.8862,823.434,1492,5938,4.23,1.32
11.0765063,4.692,4400,12.8076,189.348,1033,6460,4,1.86
2.5778717,3.472,1010,18.687,62241.5,4400,8321,3.75,3.16
3.80509,3.347,1280,8.57193,1214.11,1644,6555.5,3.83,2.35
2.99041,3.952,1290,24.2511,54264.3,4252,8542,3.66,3.56
0.890967,1.784,1100,2.89678,3225.32,2099,5159.2,4.5,0.87
2.1096805,2.1344043,1309.729713,3.6396725,644.2138136,1284.923458,5673,4.55383,0.940806
2.03905,2.26,430,6.42307,26394.8,3550,9003,3.94,2.68
2.9424142,4.073,1400,9.70968,23595.1,3452,6854,4.1,1.79
1.0793011,2.196,1562,3.31116,7736.05,2612,4349.3,4.62,0.67
4.0157492,2.706,1150,6.47219,669.61,1417,6585,3.94,2.07
2.01976,3.394,3963.85,7.3626,5926.69,2444,7274.6,4.18,1.72
8.1995368,2.1168277,903.3694431,1.9226211,26.2353114,577.2199136,4028,4.55902,0.650533
2.65646,2.475,773.369,12.1711,948.066,1545,6135.4,3.4,3.98
4.7201912,4.416,6710,15.2105,1112.85,1609,6696,4.08,1.8
3.3295394,2.77,2620,14.3988,2238,1916,7965,3.98,2.35
3.8615978,1.678,1020,13.8394,2320.32,1933,7396,3.89,2.45
3.3448312,3.322,13626,21.2012,4468.21,2277,9364,4.32,1.76
95.174,11.6316864,2600.061605,7.8498891,0.9938316,254.6525048,5723.2,3.6,1.51811
8.8803281,2.71,1238,3.20594,60.7382,777,5555.7,4.49,0.92
28.580474,4.5139977,1081.396943,3.1455035,20.8500726,545.0001759,5555.7,4.49,0.920435
38.3511223,5.9120193,1029.091726,3.2843583,14.086845,494.1094771,5555.7,4.49,0.920435
1.4015183,1.1583061,593.7540922,1.4616853,149.3747543,891.6389885,3794,4.67812,0.597007
8.5874668,5.1458902,1904.813148,5.3744721,152.0429498,895.5943008,5929,4.48275,0.987583
6.4474918,2.643,9270,48.9878,720.601,1443,6477.6,4.13,1.69
3.4040139,4.837,935,5.34279,81123.4,4701,9622,4.39,1.65
13.7432169,2.73,5046,25.7481,176.671,1015,5941.5,4.23,1.4
5.5025577,3.1711008,844.7022676,2.7049797,102.6644008,811.847988,4965,4.56,0.784109
1.7622537,0.8779711,733.5550822,2.5235818,468.5415425,1186.606643,4965,4.56,0.784109
0.8474218,0.8758764,424.3932848,1.7536544,1876.131549,1678.554981,5300,4.56,0.846387
4.8420438,2.4105648,318.6638392,1.6177405,183.6641995,938.9141348,5300,4.56,0.846387
2.14056,2.029,355.8315803,1.83828,316.156,1174,4567,4.39,0.84
4.1269046,4.405,10831,17.0952,1436.49,1715,6888,4.23416,1.59
5.5402372,7.713,2710,17.4013,2282.41,1925,6415,3.49,3.39
4.4350025,2.252,2085,9.91393,6855.78,2535,9706,4.29,1.87
1.4287976,2.93,1768,9.00484,165726,5621,9224,4.37,1.65
2.1702725,2.1417853,5156.773536,15.2590586,11706.95491,2652.960208,9218,4.27,1.8527499
0.33759,1.351,529,2.96097,9164.98,2725,7387,4.39,1.37
1.67346,2.54,390,5.10182,19786.3,3304,10445,4.09,2.45
2.5152549,2.386,1870,13.4294,4740.94,2311,5915,3.82,2.11
0.4628844,0.5588219,4489.911922,1.3543237,64.718104,723.3961549,3043,5.09707,0.188624
