koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
CANDIDATE,CANDIDATE,0,0,0,0,272.0868353,378.13721,0.3629,2.7145,5.57E+03,5.95,251,0.93,21.5,5587,4.548,0.791
CONFIRMED,CANDIDATE,0,0,0,0,14.55387488,134.11669,0.955,6.973,3.20E+02,3.45,939,183.48,26.8,6143,4.177,1.507
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.895277575,133.411986,0.928,2.711,5.35E+02,9.27,4253,77480.31,132.1,8040,3.707,3.325
CONFIRMED,CANDIDATE,0,0,0,0,81.0637895,139.53492,0.584,3.001,4.76E+02,3.01,511,16.12,19.4,6198,4.237,1.324
CONFIRMED,CANDIDATE,0,0,0,0,24.8056775,145.07526,0.007,6.148,6.24E+02,2.16,588,28.22,39.4,5600,4.455,0.872
CONFIRMED,CANDIDATE,0,0,0,0,13.02493307,138.176157,0.004,4.5706,7.78E+02,2.88,786,90.1,119.3,5657,4.364,1.046
CONFIRMED,CANDIDATE,0,0,0,0,44.3471936,161.31738,0.273,6.43,7.92E+02,2.45,484,13,40.5,5600,4.455,0.872
CONFIRMED,CANDIDATE,0,0,0,0,9.2207691,138.0072,0.037,4.907,1.40E+02,1.02,817,105.63,13.2,5600,4.455,0.872
CONFIRMED,CANDIDATE,0,0,0,0,13.6396648,141.7301,0.105,5.425,1.63E+02,1.1,717,62.6,13.3,5600,4.455,0.872
CONFIRMED,CANDIDATE,0,0,0,0,1.922799706,134.50174,0.036,1.8604,2.60E+02,1.28,1215,514.44,30.1,5194,4.559,0.815
CONFIRMED,CANDIDATE,0,0,0,0,3.222975318,178.0701,0.33,2.9247,2.33E+02,1.47,1239,558.65,31.3,5823,4.427,0.96
CANDIDATE,CANDIDATE,0,0,0,0,42.0370662,178.25006,0.672,6.282,2.67E+02,1.66,527,18.16,14.7,5823,4.427,0.96
CANDIDATE,CANDIDATE,0,0,0,0,21.0112068,132.6336,0.853,4.507,1.64E+02,1.4,663,45.79,10.2,5823,4.427,0.96
CONFIRMED,CANDIDATE,0,0,0,0,4.16811839,134.89621,0.709,2.8084,2.63E+02,2.28,1277,628.73,26.7,5689,4.202,1.313
CONFIRMED,CANDIDATE,0,0,0,0,5.82348911,354.99602,0.877,2.2441,8.89E+02,3,955,196.33,38.1,5774,4.526,0.864
CANDIDATE,CANDIDATE,0,0,0,0,8.75059775,358.24233,0.33,2.8288,8.82E+02,2.27,682,51,28.3,4942,4.599,0.779
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,9.41475056,142.32936,1.148,4.736,4.83E+02,19.33,962,202.58,55.2,6406,4.436,1.033
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.56669006,133.81294,0.7102,2.1674,1.05E+02,1.52,2955,18023.71,53.8,6899,4.273,1.386
CONFIRMED,CANDIDATE,0,0,0,0,7.13969705,137.18652,0.027,3.981,5.13E+02,2.24,965,205.23,27.8,6014,4.486,0.993
CONFIRMED,CANDIDATE,0,0,0,0,18.75470238,141.7172,0.034,3.0331,9.95E+02,1.67,382,5.03,33.2,3976,4.721,0.54
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,3.00363219,135.64129,0.727,3.732,1.01E+02,1.43,1571,1441.44,38.5,6309,4.217,1.32
CONFIRMED,CANDIDATE,0,0,0,0,11.30123036,134.91855,0.117,4.022,2.77E+02,1.85,852,124.42,18.5,5730,4.34,1.122
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.796722833,133.07985,0.601,2.4551,1.07E+02,1.44,2401,7844.64,43.9,5959,4.121,1.334
CONFIRMED,CANDIDATE,0,0,0,0,4.24153629,133.45522,0.257,2.971,1.88E+02,1.44,1177,452.95,18,5776,4.34,1.047
CONFIRMED,CANDIDATE,0,0,0,0,17.32419108,142.09977,0.764,8.045,2.41E+02,3.14,964,204.1,49.1,5968,3.972,1.857
CONFIRMED,CANDIDATE,0,0,0,0,14.37457572,138.20189,0.035,4.7892,3.36E+02,1.94,779,87.24,55.2,5768,4.358,1.067
CONFIRMED,CANDIDATE,0,0,0,0,9.65188331,132.15947,0.122,4.296,1.03E+02,1.08,890,148.32,19.8,5768,4.358,1.067
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,6.0990118,135.52357,0.688,3.6112,2.28E+02,3.16,1374,842.53,39.3,5743,3.881,1.971
CONFIRMED,CANDIDATE,0,0,0,0,49.4781446,141.82465,0.048,2.493,4.97E+02,1.88,462,10.73,20.4,5776,4.554,0.849
CONFIRMED,CANDIDATE,0,0,0,0,30.8639476,162.88077,0.907,8.864,2.57E+02,3.01,743,72.05,63,5977,4.08,1.571
CONFIRMED,CANDIDATE,0,0,0,0,2.403640701,134.73065,0.918,1.4012,7.49E+01,1.24,1489,1164.85,16.3,5881,4.315,1.171
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.90060781,179.83386,0.47,2.563,1.25E+02,1.58,1645,1727.31,20.6,6547,4.241,1.371
CONFIRMED,CANDIDATE,0,0,0,0,4.51436096,134.0293,0.118,3.0083,2.31E+02,1.84,1231,543.73,28.4,5940,4.306,1.215
CONFIRMED,CANDIDATE,0,0,0,0,3.77359871,134.07013,0,2.7282,1.76E+02,1.29,1270,614.52,25.6,6224,4.404,0.969
CONFIRMED,CANDIDATE,0,0,0,0,8.18182189,134.81423,0.655,2.4566,3.00E+02,1.77,981,218.9,27.4,6224,4.404,0.969
CONFIRMED,CANDIDATE,0,0,0,0,13.32389352,135.24585,0.073,3.2208,7.81E+02,1.26,378,4.83,25.9,3751,4.813,0.45
CONFIRMED,CANDIDATE,0,0,0,0,4.919584997,134.602396,0.243,4.1988,4.26E+02,2.86,1312,702.13,132,6236,4.246,1.378
CONFIRMED,CANDIDATE,0,0,0,0,11.41911886,186.30498,0.947,5.135,5.09E+02,3.32,921,170.33,23.7,6311,4.398,1.172
CONFIRMED,CANDIDATE,0,0,0,0,11.36113254,136.92584,0.734,4.1886,5.70E+02,2.6,869,134.97,57,6244,4.46,1.009
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,1.3866358,134.3472,0.3783,4.77,7.01E+01,0.72,1503,1205.94,6.8,5693,4.551,0.856
CONFIRMED,CANDIDATE,0,0,0,0,14.53410833,145.42643,0.766,3.3094,5.11E+02,1.36,420,7.34,32.5,3957,4.693,0.553
CONFIRMED,CANDIDATE,0,0,0,0,33.0063185,145.38821,0.39,7.118,2.78E+02,3.13,778,86.38,38.2,5968,3.972,1.857
CONFIRMED,CANDIDATE,0,0,0,0,11.13127159,134.36341,0.01,4.2372,2.11E+02,2.06,952,194.31,36.8,5800,4.202,1.435
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,3.47143963,133.74061,0.719,3.663,9.98E+01,1.19,1358,805.05,27.5,6341,4.409,1.111
CONFIRMED,CANDIDATE,0,0,0,0,29.6193891,133.68205,0.046,4.9595,3.15E+02,1.74,580,26.79,42.5,5618,4.401,0.996
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,3.50376155,134.6825677,,3.16,,,,,,,,
CONFIRMED,CANDIDATE,0,0,0,0,8.925079516,139.71389,0.74,2.6766,9.78E+02,2.36,628,36.89,135.8,4728,4.628,0.693
CONFIRMED,CANDIDATE,0,0,0,0,8.0922105,138.04535,0.951,5.7696,6.53E+01,1.44,1089,331.65,37.5,5774,4.106,1.395
FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,3.117087797,134.684738,1.255,3.06941,1.22E+04,88.51,1842,2725.12,441.7,6338,3.973,2.046
CONFIRMED,CANDIDATE,0,0,0,0,22.687155,148.455435,0.023,5.4921,9.60E+02,3.2,653,42.95,122.8,5657,4.364,1.046
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.937406378,134.726531,0.8735,1.9515,5.08E+03,7.09,1659,1790.11,138.9,5480,4.529,0.843
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.668483615,178.281377,1.269,2.0909,2.90E+03,29.53,1832,2642.17,161.2,5546,4.575,0.81
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.429633087,355.143546,1.264,3.0257,6.12E+03,32.12,950,192.62,166.3,5344,4.545,0.809
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.544927524,133.54909,0.533,1.0134,1.39E+02,1.39,1824,2606.96,25.4,6309,4.34,1.132
CONFIRMED,CANDIDATE,0,0,0,0,4.48758768,133.36092,0.532,2.874,1.12E+02,1.37,1305,684.07,25.9,6060,4.227,1.257
FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,0.323021692,133.603668,1.1083,2.3442,4.71E+04,46.4,2545,9913.7,520.6,5458,4.381,0.972
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.70818628,137.0593,1.082,3.278,5.65E+04,42.99,1046,282.41,24.7,5868,4.53,0.894
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,14.40585744,360.3847471,0.001,5.48509,3.04E+04,23.42,888,146.95,2294.1,5945,4.196,1.346
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.702374154,137.563452,3.346,3.8459,1.84E+04,225.25,825,109.38,157.2,5598,4.565,0.83
CONFIRMED,CANDIDATE,0,0,0,0,16.56062577,133.49703,0.96,2.611,7.01E+02,2.94,701,57.28,30.8,5818,4.436,0.855
