Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
1,7.41113177,2.5242,621,2.45,158.11,905,5849,4.517,0.919
0,1.000747038,0.9967,1820,4.14,1635.2,1620,5472,4.499,0.79
1,8.884922995,2.07004,16100,10.51,83.21,770,5332,4.5,0.843
1,8.09888906,4.20241,6910,8.95,223.19,986,6214,4.442,1.076
1,10.00653012,5.344,936,3.52,139.21,876,6063,4.47,1.001
1,17.85522168,7.41287,9070,13.16,163.04,911,6823,4.308,1.367
0,1,1,1,1,1,1,1,1,1
1,12.73262407,2.2083,6470,4.87,8.22,432,3950,4.721,0.541
1,83.92494032,6.7904,7960,4.78,0.62,226,3960,4.746,0.509
1,5.007316661,4.2362,6930,6.96,234.28,998,5865,4.563,0.827
1,2.211116989,1.6485,724,1.85,177.19,931,4500,4.656,0.646
1,27.9541337,3.95,943,1.9,6.04,400,4500,4.656,0.646
1,12.69104387,3.7727,252,2.57,244.3,1008,5869,4.024,1.626
0,4.409409243,3.8636,12900,10.95,347.06,1101,5600,4.368,0.975
1,16.23947096,4.0374,2590,4.14,30.14,598,5191,4.564,0.837
1,6.308201629,2.9785,1330,2.96,106.44,819,5191,4.564,0.837
1,2.052349884,2.0778,14300,13.12,1183.18,1497,5855,4.393,1.08
1,9.7704486,2.4517,1900,2.23,10.59,460,3906,4.73,0.509
1,5.169804269,2.153,1040,1.66,24.75,569,3906,4.73,0.509
1,21.22261195,6.5093,366,2.48,83.56,771,5945,4.213,1.302
1,20.09017037,4.154,1430,2.25,4.05,362,3906,4.73,0.509
1,7.11373257,2.1764,808,1.16,8.01,429,3561,4.855,0.411
1,3.306551643,1.8177,509,0.91,22.19,554,3561,4.855,0.411
1,15.36845737,2.4714,756,1.11,2.86,332,3561,4.855,0.411
1,13.81020318,3.048,1310,4.56,113.75,833,5942,4.327,1.142
1,4.093578461,2.5833,539,2.85,461.07,1182,6077,4.471,0.999
1,105.145959,8.593,685,3.43,6.09,401,6077,4.471,0.999
1,10.8484518,2.9993,1680,2.34,14.66,499,4201,4.682,0.591
1,6.66833241,1.915,362,1.18,28.06,587,4201,4.682,0.591
1,4.082274889,3.23015,17900,10.55,251.48,1016,5655,4.581,0.794
1,3.886655224,3.1646,582,1.87,246.29,1010,5662,4.61,0.738
1,42.1406089,5.083,896,1.85,3.49,349,4500,4.656,0.646
1,4.617490562,2.2618,576,1.62,66.47,728,4500,4.656,0.646
1,10.19849255,2.4283,634,1.75,23.11,559,4500,4.656,0.646
0,5.795063956,3.2496,1690,4.33,192.74,950,5865,4.563,0.827
1,7.15681552,2.5882,867,2.47,88.23,782,5029,4.494,0.838
1,17.64830851,2.0873,763,2.43,26.49,579,5029,4.494,0.838
1,4.14810719,2.535,175,1.08,182.76,938,5029,4.494,0.838
1,16.51410989,4.1575,974,2.72,43.57,655,5527,4.488,0.866
1,30.1329298,5.172,1020,3.14,19.55,536,5527,4.488,0.866
1,4.79090809,2.603,251,1.36,227.24,990,5527,4.488,0.866
1,31.71981013,4.819,363,3.09,71.97,743,5869,4.024,1.626
1,99.6415962,4.448,953,2.64,3.97,360,5527,4.488,0.866
1,4.708326451,3.16114,7910,10.6,431.02,1162,5560,4.246,1.21
0,16.37198661,3.8449,4150,540.37,8.71,438,4187,4.656,0.592
1,5.392026903,2.9804,1150,2.68,123.33,850,5198,4.589,0.801
1,2.494170338,1.1221,864,2.42,480.19,1194,5569,4.566,0.829
1,6.491682808,4.301,7160,9.66,301.54,1062,6123,4.413,1.107
